Name	Id	tsne_clust	umap_clust
Familial cold autoinflammatory syndrome	UMLS:C0343068	0	0
Familial hemophagocytic lymphohistiocytosis	UMLS:C0272199	2	4
Familial Mediterranean fever	UMLS:C0031069	0	0
Felty's syndrome	UMLS:C0015773	4	2
Glycogen storage disease type 1B	UMLS:C0268146	3	3
Griscelli syndrome type 2	UMLS:C1868679	2	4
Hepatic venoocclusive disease with immunodeficiency	UMLS:C1856128	1	1
Hereditary folate malabsorption	UMLS:C0342705	2	4
Hermansky Pudlak syndrome 2	UMLS:C1842362	2	4
Hyper-IgD syndrome	UMLS:C0398691	0	0
ICF syndrome	UMLS:C3279748	1	1
IL12RB1 deficiency	UMLS:C4013949	1	2
Immune dysfunction with T-cell inactivation due to calcium entry defect 1	UMLS:C2748568	4	2
Immunodeficiency with hyper IgM type 1	UMLS:C0398689	1	2
Immunodeficiency with hyper IgM type 2	UMLS:C1720956	1	1
Immunodeficiency with hyper IgM type 3	UMLS:C1720957	1	2
Immunodeficiency with hyper IgM type 4	UMLS:C1842413	1	2
Immunodeficiency with hyper IgM type 5	UMLS:C1720958	1	1
Immunodeficiency without anhidrotic ectodermal dysplasia	UMLS:C1845117	4	2
Immune dysregulation, polyendocrinopathy and enteropathy X-linked	UMLS:C0342288	4	2
Immunoglobulin A deficiency 2	UMLS:C1836032	1	1
Intestinal atresia multiple	UMLS:C0220744	4	2
IRAK-4 deficiency	UMLS:C1843256	1	2
Isolated growth hormone deficiency type 3	UMLS:C0472813	1	2
Leukocyte adhesion deficiency type 1	UMLS:C0398738	4	0
LRBA deficiency	UMLS:C3553512	1	1
Majeed syndrome	UMLS:C1864997	0	0
Melkersson-Rosenthal syndrome	UMLS:C0025235	3	3
MHC class 1 deficiency	UMLS:C1858266	4	2
MYD88 deficiency	UMLS:C2677092	4	2
Netherton syndrome	UMLS:C0265962	0	0
Neutrophil-specific granule deficiency	UMLS:C0398593	1	1
Osteopetrosis autosomal recessive 7	UMLS:C2676766	3	3
Papillon Lefevre syndrome	UMLS:C0030360	0	0
PASLI disease	UMLS:C4014934	4	2
PASLI disease	UMLS:C3714976	4	2
Pearson syndrome	UMLS:C0342784	3	3
PGM3-CDG	UMLS:C4014371	1	1
Poikiloderma with neutropenia	UMLS:C1858723	1	1
Pruritic urticarial papules plaques of pregnancy	UMLS:C0269680	3	3
Purine nucleoside phosphorylase deficiency	UMLS:C0268125	4	2
Pyogenic arthritis, pyoderma gangrenosum and acne	UMLS:C1858361	0	0
Reticular dysgenesis	UMLS:C0272167	4	2
Schimke immuno-osseous dysplasia	UMLS:C0877024	2	4
Severe congenital neutropenia X-linked	UMLS:C1845987	4	2
Short-limb skeletal dysplasia with severe combined immunodeficiency	UMLS:C1860168	4	2
Shwachman-Diamond syndrome	UMLS:C0272170	2	4
Spondyloenchondrodysplasia with immune dysregulation	UMLS:C1842763	1	1
T-cell immunodeficiency, congenital alopecia and nail dystrophy	UMLS:C1866426	1	1
TARP syndrome	UMLS:C1839463	3	3
Tumor necrosis factor receptor-associated periodic syndrome	UMLS:C1275126	0	0
Vici syndrome	UMLS:C1855772	2	4
WHIM syndrome	UMLS:C0472817	1	1
Wiskott Aldrich syndrome	UMLS:C0043194	4	2
Woods Black Norbury syndrome	UMLS:C1848144	2	4
X-linked immunodeficiency with magnesium defect, Epstein-Barr virus infection and neoplasia	UMLS:C3275445	1	1
X-linked lymphoproliferative syndrome	UMLS:C0549463	1	2
ZAP-70 deficiency	UMLS:C2931299	1	1
