Gene::701	Pathway::PC7_6941
Gene::5080	Pathway::PC7_5330
Gene::26986	Pathway::WP2853_r83014
Gene::6513	Pathway::PC7_4466
Gene::221037	Pathway::PC7_4449
Gene::80321	Pathway::PC7_6890
Gene::6217	Pathway::PC7_685
Gene::63967	Pathway::PC7_1688
Gene::1072	Pathway::PC7_6958
Gene::6228	Pathway::PC7_3774
Gene::84335	Pathway::PC7_1877
Gene::9948	Pathway::PC7_6514
Gene::3791	Pathway::PC7_4762
Gene::3747	Pathway::PC7_6543
Gene::5721	Pathway::PC7_5530
Gene::847	Pathway::PC7_6649
Gene::51079	Pathway::WP1433_r83527
Gene::5440	Pathway::PC7_6808
Gene::4782	Pathway::PC7_6807
Gene::109	Pathway::PC7_1571
Gene::7157	Pathway::PC7_6191
Gene::2033	Pathway::PC7_6918
Gene::9584	Pathway::WP411_r79980
Gene::1432	Pathway::PC7_2372
Gene::4312	Pathway::WP1984_r82941
Gene::5607	Pathway::PC7_3698
Gene::7046	Pathway::PC7_4284
Gene::341392	Pathway::PC7_5322
Gene::51714	Pathway::WP15_r82705
Gene::1235	Pathway::PC7_3046
Gene::115	Pathway::PC7_3994
Gene::3667	Pathway::PC7_7460
Gene::10762	Pathway::PC7_4729
Gene::3091	Pathway::PC7_6086
Gene::4089	Pathway::WP2853_r83014
Gene::902	Pathway::PC7_3349
Gene::5533	Pathway::WP35_r79952
Gene::8795	Pathway::WP254_r84652
Gene::3383	Pathway::PC7_4773
Gene::2769	Pathway::PC7_4638
Gene::5692	Pathway::PC7_6915
Gene::7189	Pathway::PC7_8055
Gene::3484	Pathway::PC7_4340
Gene::5590	Pathway::WP2012_r82900
Gene::5682	Pathway::PC7_1521
Gene::2244	Pathway::PC7_2671
Gene::192669	Pathway::PC7_2926
Gene::2832	Pathway::WP455_r81793
Gene::50488	Pathway::PC7_6072
Gene::2902	Pathway::WP666_r68893
Gene::283375	Pathway::PC7_8339
Gene::6139	Pathway::PC7_4112
Gene::81490	Pathway::PC7_4262
Gene::4205	Pathway::PC7_5558
Gene::140606	Pathway::WP28_r71888
Gene::7480	Pathway::WP399_r79474
Gene::6093	Pathway::PC7_7660
Gene::4337	Pathway::PC7_5322
Gene::441608	Pathway::PC7_4043
Gene::57761	Pathway::WP236_r80209
Gene::348995	Pathway::PC7_4211
Gene::785	Pathway::PC7_5697
Gene::5715	Pathway::PC7_2521
Gene::1129	Pathway::PC7_3992
Gene::8370	Pathway::PC7_7484
Gene::64127	Pathway::PC7_5558
Gene::3265	Pathway::PC7_4583
Gene::55746	Pathway::PC7_4728
Gene::6883	Pathway::PC7_6799
Gene::5578	Pathway::PC7_4112
Gene::4537	Pathway::PC7_5322
Gene::116138	Pathway::PC7_4657
Gene::1295	Pathway::PC7_2668
Gene::6772	Pathway::PC7_7851
Gene::3422	Pathway::PC7_5326
Gene::6505	Pathway::PC7_1630
Gene::5683	Pathway::PC7_1537
Gene::5080	Pathway::PC7_3084
Gene::4938	Pathway::PC7_2907
Gene::9514	Pathway::WP702_r73516
Gene::2146	Pathway::PC7_6233
Gene::26689	Pathway::PC7_7439
Gene::8569	Pathway::PC7_7448
Gene::6366	Pathway::PC7_2620
Gene::3690	Pathway::PC7_7493
Gene::2906	Pathway::PC7_5887
Gene::7529	Pathway::PC7_4741
Gene::5880	Pathway::PC7_7423
Gene::50999	Pathway::PC7_7484
Gene::90423	Pathway::PC7_4806
Gene::25855	Pathway::PC7_4334
Gene::6827	Pathway::PC7_4365
Gene::50814	Pathway::PC7_5326
Gene::59338	Pathway::PC7_2624
Gene::5153	Pathway::PC7_2926
Gene::572	Pathway::WP254_r84652
Gene::2066	Pathway::PC7_2926
Gene::5894	Pathway::PC7_4749
Gene::138474	Pathway::PC7_6799
Gene::518	Pathway::WP623_r79961
Gene::79682	Pathway::PC7_2575
Gene::51741	Pathway::PC7_12279
Gene::8346	Pathway::PC7_7272
Gene::5000	Pathway::PC7_1554
Gene::2250	Pathway::PC7_3278
Gene::3113	Pathway::PC7_8338
Gene::2953	Pathway::PC7_5322
Gene::109	Pathway::WP35_r79952
Gene::6324	Pathway::PC7_4765
Gene::3556	Pathway::PC7_7461
Gene::2150	Pathway::PC7_2620
Gene::10197	Pathway::PC7_4492
Gene::5690	Pathway::PC7_6815
Gene::134266	Pathway::PC7_5330
Gene::7314	Pathway::PC7_7427
Gene::5734	Pathway::PC7_4043
Gene::6311	Pathway::WP2371_r84649
Gene::445	Pathway::PC7_1629
Gene::1509	Pathway::PC7_5323
Gene::9282	Pathway::PC7_8328
Gene::6134	Pathway::PC7_685
Gene::1398	Pathway::PC7_4820
Gene::55879	Pathway::PC7_8339
Gene::4249	Pathway::PC7_5330
Gene::284521	Pathway::PC7_6044
Gene::4790	Pathway::WP1984_r82941
Gene::1000	Pathway::PC7_6542
Gene::119391	Pathway::PC7_4219
Gene::4790	Pathway::PC7_2467
Gene::5151	Pathway::PC7_7439
Gene::1580	Pathway::PC7_5322
Gene::26108	Pathway::PC7_11610
Gene::8344	Pathway::PC7_5272
Gene::7311	Pathway::PC7_2520
Gene::1001	Pathway::PC7_2527
Gene::342132	Pathway::PC7_4116
Gene::8074	Pathway::PC7_7718
Gene::4041	Pathway::PC7_7439
Gene::9861	Pathway::PC7_1672
Gene::4792	Pathway::WP75_r83867
Gene::7140	Pathway::WP383_r80200
Gene::207	Pathway::PC7_6870
Gene::6194	Pathway::WP49_r78543
Gene::6416	Pathway::PC7_6072
Gene::503614	Pathway::PC7_3046
Gene::23127	Pathway::PC7_3777
Gene::652	Pathway::WP2858_r83015
Gene::4736	Pathway::PC7_4729
Gene::1577	Pathway::WP229_r68389
Gene::890	Pathway::PC7_6875
Gene::5441	Pathway::PC7_4729
Gene::5000	Pathway::PC7_1813
Gene::6898	Pathway::PC7_3853
Gene::8335	Pathway::PC7_6790
Gene::4051	Pathway::PC7_5508
Gene::3065	Pathway::PC7_7463
Gene::5578	Pathway::PC7_3328
Gene::3625	Pathway::PC7_1667
Gene::5170	Pathway::PC7_4449
Gene::3481	Pathway::PC7_7439
Gene::9491	Pathway::PC7_8625
Gene::8323	Pathway::PC7_6108
Gene::10811	Pathway::WP1984_r82941
Gene::3486	Pathway::PC7_8680
Gene::1308	Pathway::PC7_3777
Gene::5925	Pathway::WP2261_r81197
Gene::3046	Pathway::PC7_4449
Gene::25942	Pathway::WP138_r79958
Gene::23522	Pathway::PC7_4308
Gene::5260	Pathway::PC7_4265
Gene::1839	Pathway::PC7_6507
Gene::27327	Pathway::PC7_6561
Gene::57819	Pathway::PC7_12073
Gene::91754	Pathway::PC7_5049
Gene::51564	Pathway::WP1544_r84696
Gene::6834	Pathway::WP1584_r81779
Gene::7015	Pathway::PC7_4340
Gene::2002	Pathway::WP2637_r80029
Gene::135152	Pathway::PC7_5322
Gene::5567	Pathway::PC7_8339
Gene::8428	Pathway::PC7_1688
Gene::2064	Pathway::PC7_3697
Gene::55811	Pathway::PC7_7439
Gene::4193	Pathway::PC7_12274
Gene::257397	Pathway::WP195_r79965
Gene::898	Pathway::WP707_r82937
Gene::6712	Pathway::PC7_1563
Gene::11222	Pathway::PC7_5521
Gene::6897	Pathway::PC7_4112
Gene::8204	Pathway::WP34_r72115
Gene::390077	Pathway::PC7_4043
Gene::8294	Pathway::PC7_2521
Gene::2596	Pathway::WP2431_r84650
Gene::11065	Pathway::WP2363_r84552
Gene::3852	Pathway::PC7_8681
Gene::6776	Pathway::WP22_r79264
Gene::3558	Pathway::WP2583_r84488
Gene::2691	Pathway::PC7_4043
Gene::5682	Pathway::PC7_3326
Gene::438	Pathway::PC7_1625
Gene::140838	Pathway::PC7_5330
Gene::7423	Pathway::PC7_4449
Gene::219983	Pathway::PC7_6044
Gene::2773	Pathway::WP536_r80211
Gene::5981	Pathway::WP1530_r84694
Gene::1212	Pathway::PC7_4102
Gene::57498	Pathway::PC7_1163
Gene::4686	Pathway::PC7_8345
Gene::4295	Pathway::PC7_4044
Gene::7412	Pathway::PC7_2081
Gene::6416	Pathway::PC7_2255
Gene::4700	Pathway::WP623_r79961
Gene::9871	Pathway::PC7_2325
Gene::3932	Pathway::PC7_6141
Gene::5257	Pathway::PC7_4207
Gene::6554	Pathway::WP2879_r79602
Gene::6123	Pathway::PC7_4728
Gene::5534	Pathway::PC7_7483
Gene::2535	Pathway::PC7_8775
Gene::2261	Pathway::PC7_7444
Gene::5605	Pathway::PC7_3433
Gene::2960	Pathway::PC7_4366
Gene::5438	Pathway::PC7_4727
Gene::4988	Pathway::PC7_3999
Gene::29924	Pathway::PC7_4783
Gene::2535	Pathway::PC7_1821
Gene::5599	Pathway::PC7_7719
Gene::997	Pathway::PC7_1563
Gene::352954	Pathway::WP2361_r84551
Gene::79947	Pathway::PC7_1750
Gene::23511	Pathway::PC7_4768
Gene::3937	Pathway::PC7_4053
Gene::5558	Pathway::PC7_4951
Gene::83605	Pathway::PC7_12266
Gene::3809	Pathway::PC7_4688
Gene::2033	Pathway::PC7_2521
Gene::3458	Pathway::WP619_r71168
Gene::1026	Pathway::PC7_7446
Gene::55663	Pathway::PC7_4116
Gene::1981	Pathway::PC7_7460
Gene::5888	Pathway::PC7_5271
Gene::942	Pathway::PC7_7439
Gene::55588	Pathway::PC7_6203
Gene::54536	Pathway::PC7_4747
Gene::3827	Pathway::PC7_4107
Gene::54507	Pathway::PC7_5330
Gene::7175	Pathway::PC7_3278
Gene::9052	Pathway::WP501_r79715
Gene::259289	Pathway::PC7_2622
Gene::3990	Pathway::PC7_4970
Gene::8912	Pathway::PC7_3084
Gene::122618	Pathway::PC7_5326
Gene::5525	Pathway::PC7_3278
Gene::5562	Pathway::PC7_4663
Gene::5707	Pathway::PC7_2520
Gene::144193	Pathway::PC7_5322
Gene::3560	Pathway::PC7_3327
Gene::5438	Pathway::PC7_3959
Gene::28998	Pathway::PC7_5524
Gene::5023	Pathway::PC7_3652
Gene::7311	Pathway::PC7_4741
Gene::1499	Pathway::PC7_8664
Gene::10746	Pathway::WP195_r79965
Gene::81030	Pathway::PC7_4741
Gene::6159	Pathway::PC7_8331
Gene::3741	Pathway::PC7_5887
Gene::53981	Pathway::PC7_6589
Gene::9861	Pathway::PC7_8766
Gene::5704	Pathway::PC7_4467
Gene::3660	Pathway::PC7_4688
Gene::5720	Pathway::PC7_4005
Gene::2261	Pathway::WP2828_r79529
Gene::79023	Pathway::PC7_5985
Gene::151	Pathway::PC7_1578
Gene::51520	Pathway::PC7_4112
Gene::2877	Pathway::PC7_7728
Gene::5692	Pathway::PC7_5531
Gene::6580	Pathway::PC7_5975
Gene::57834	Pathway::WP43_r84102
Gene::782	Pathway::PC7_5887
Gene::308	Pathway::WP98_r72088
Gene::3837	Pathway::PC7_1684
Gene::808	Pathway::PC7_4556
Gene::51109	Pathway::PC7_3278
Gene::246175	Pathway::PC7_5327
Gene::23165	Pathway::PC7_4771
Gene::8338	Pathway::PC7_2570
Gene::28514	Pathway::PC7_3803
Gene::9162	Pathway::PC7_4107
Gene::3624	Pathway::WP2377_r80437
Gene::51052	Pathway::PC7_6396
Gene::5718	Pathway::PC7_12274
Gene::55168	Pathway::PC7_5521
Gene::2773	Pathway::PC7_6050
Gene::949	Pathway::PC7_7393
Gene::5058	Pathway::WP1984_r82941
Gene::6130	Pathway::PC7_3772
Gene::10142	Pathway::PC7_6890
Gene::10014	Pathway::WP2029_r82903
Gene::2767	Pathway::WP3594_r84573
Gene::1298	Pathway::PC7_7439
Gene::6720	Pathway::PC7_1550
Gene::5714	Pathway::PC7_1859
Gene::1058	Pathway::PC7_5049
Gene::10382	Pathway::PC7_2519
Gene::2064	Pathway::PC7_7423
Gene::8894	Pathway::WP107_r78489
Gene::90423	Pathway::PC7_7460
Gene::1281	Pathway::PC7_1812
Gene::4067	Pathway::PC7_2907
Gene::5296	Pathway::WP364_r83783
Gene::55762	Pathway::PC7_4112
Gene::58	Pathway::PC7_1123
Gene::23462	Pathway::WP61_r78592
Gene::1298	Pathway::PC7_7475
Gene::5599	Pathway::PC7_4819
Gene::7867	Pathway::PC7_8288
Gene::6822	Pathway::PC7_2911
Gene::166929	Pathway::PC7_7651
Gene::57107	Pathway::PC7_5322
Gene::4193	Pathway::WP465_r79226
Gene::115727	Pathway::WP382_r79951
Gene::4176	Pathway::WP1530_r84694
Gene::85360	Pathway::PC7_6957
Gene::9070	Pathway::PC7_7439
Gene::905	Pathway::PC7_4948
Gene::6122	Pathway::PC7_5972
Gene::171568	Pathway::PC7_6810
Gene::1856	Pathway::PC7_8776
Gene::8795	Pathway::PC7_1684
Gene::55166	Pathway::PC7_5049
Gene::84870	Pathway::PC7_12487
Gene::1540	Pathway::PC7_5779
Gene::2248	Pathway::PC7_7445
Gene::8379	Pathway::PC7_5527
Gene::3772	Pathway::PC7_4786
Gene::10126	Pathway::PC7_7439
Gene::402	Pathway::PC7_6537
Gene::257397	Pathway::PC7_4819
Gene::3985	Pathway::WP366_r84196
Gene::3815	Pathway::PC7_4012
Gene::23224	Pathway::PC7_5271
Gene::2865	Pathway::PC7_3993
Gene::5720	Pathway::PC7_2952
Gene::7297	Pathway::PC7_6747
Gene::3030	Pathway::WP706_r80056
Gene::164	Pathway::PC7_2630
Gene::3351	Pathway::WP58_r80015
Gene::917	Pathway::PC7_6128
Gene::5563	Pathway::PC7_4754
Gene::5687	Pathway::PC7_2952
Gene::3682	Pathway::PC7_4759
Gene::842	Pathway::PC7_2679
Gene::3695	Pathway::PC7_3360
Gene::9349	Pathway::PC7_2469
Gene::8128	Pathway::PC7_5697
Gene::2693	Pathway::PC7_4107
Gene::10257	Pathway::WP2289_r78511
Gene::6654	Pathway::PC7_7504
Gene::8573	Pathway::PC7_5968
Gene::6884	Pathway::PC7_8317
Gene::4862	Pathway::PC7_6910
Gene::253017	Pathway::PC7_3878
Gene::5605	Pathway::PC7_4061
Gene::1386	Pathway::PC7_6918
Gene::6158	Pathway::PC7_4727
Gene::9495	Pathway::PC7_8340
Gene::2767	Pathway::PC7_8267
Gene::85236	Pathway::PC7_7272
Gene::2665	Pathway::PC7_6957
Gene::4605	Pathway::PC7_5529
Gene::6564	Pathway::PC7_8354
Gene::57144	Pathway::PC7_3084
Gene::57834	Pathway::PC7_3883
Gene::2264	Pathway::PC7_6994
Gene::6578	Pathway::PC7_8360
Gene::7249	Pathway::PC7_12079
Gene::5440	Pathway::PC7_3349
Gene::9429	Pathway::WP1601_r84700
Gene::85456	Pathway::PC7_5327
Gene::25888	Pathway::PC7_2634
Gene::390066	Pathway::PC7_4043
Gene::10694	Pathway::PC7_6566
Gene::5575	Pathway::PC7_7475
Gene::516	Pathway::PC7_8229
Gene::5716	Pathway::PC7_5322
Gene::23198	Pathway::PC7_6881
Gene::2625	Pathway::PC7_2170
Gene::26873	Pathway::WP100_r74146
Gene::5704	Pathway::PC7_1816
Gene::4683	Pathway::PC7_5272
Gene::55503	Pathway::PC7_7788
Gene::11052	Pathway::PC7_7451
Gene::9636	Pathway::WP619_r71168
Gene::9070	Pathway::PC7_7784
Gene::5609	Pathway::PC7_4370
Gene::5336	Pathway::PC7_8295
Gene::146	Pathway::PC7_4107
Gene::6654	Pathway::WP244_r78506
Gene::9978	Pathway::PC7_7439
Gene::2255	Pathway::PC7_3278
Gene::6142	Pathway::PC7_3774
Gene::26575	Pathway::PC7_7457
Gene::6514	Pathway::PC7_3084
Gene::996	Pathway::PC7_1521
Gene::3123	Pathway::PC7_1563
Gene::27006	Pathway::PC7_7446
Gene::104	Pathway::PC7_4112
Gene::6119	Pathway::PC7_6933
Gene::8567	Pathway::PC7_2506
Gene::4088	Pathway::PC7_4340
Gene::7316	Pathway::PC7_1516
Gene::5603	Pathway::PC7_8664
Gene::23636	Pathway::PC7_3278
Gene::133522	Pathway::WP1403_r79471
Gene::6234	Pathway::PC7_5972
Gene::4928	Pathway::PC7_4365
Gene::5721	Pathway::PC7_11385
Gene::4343	Pathway::PC7_6149
Gene::54790	Pathway::PC7_4112
Gene::10000	Pathway::PC7_7444
Gene::4283	Pathway::PC7_4044
Gene::8318	Pathway::PC7_1522
Gene::9965	Pathway::PC7_4688
Gene::7066	Pathway::PC7_6512
Gene::1491	Pathway::WP28_r71888
Gene::3949	Pathway::WP2011_r75253
Gene::4327	Pathway::WP129_r72054
Gene::2687	Pathway::PC7_7740
Gene::93426	Pathway::PC7_5273
Gene::5600	Pathway::PC7_5078
Gene::2247	Pathway::PC7_7717
Gene::64240	Pathway::WP430_r82344
Gene::80326	Pathway::WP399_r79474
Gene::10093	Pathway::PC7_6740
Gene::2737	Pathway::PC7_4438
Gene::990	Pathway::PC7_5530
Gene::6223	Pathway::PC7_5972
Gene::9138	Pathway::PC7_7457
Gene::57642	Pathway::PC7_2668
Gene::1601	Pathway::PC7_4103
Gene::7077	Pathway::WP1539_r79949
Gene::3687	Pathway::PC7_3777
Gene::2967	Pathway::PC7_3959
Gene::5718	Pathway::PC7_3427
Gene::2779	Pathway::PC7_3999
Gene::2539	Pathway::WP692_r69031
Gene::5598	Pathway::PC7_5772
Gene::22917	Pathway::PC7_4764
Gene::3119	Pathway::PC7_5157
Gene::26018	Pathway::PC7_3700
Gene::5717	Pathway::PC7_4492
Gene::57122	Pathway::PC7_5707
Gene::3575	Pathway::PC7_4782
Gene::983	Pathway::PC7_7504
Gene::4060	Pathway::PC7_5322
Gene::390261	Pathway::PC7_7457
Gene::6482	Pathway::PC7_2500
Gene::29760	Pathway::WP23_r79985
Gene::10411	Pathway::PC7_4449
Gene::257313	Pathway::PC7_4043
Gene::23619	Pathway::PC7_4116
Gene::4893	Pathway::PC7_3983
Gene::2903	Pathway::PC7_2333
Gene::1438	Pathway::PC7_4688
Gene::5598	Pathway::PC7_3434
Gene::2885	Pathway::PC7_2525
Gene::1582	Pathway::PC7_7755
Gene::2250	Pathway::PC7_3328
Gene::7173	Pathway::WP2848_r80009
Gene::89	Pathway::PC7_7497
Gene::51295	Pathway::WP195_r79965
Gene::843	Pathway::WP254_r84652
Gene::10053	Pathway::PC7_5873
Gene::83884	Pathway::PC7_1629
Gene::959	Pathway::PC7_1563
Gene::8331	Pathway::PC7_6794
Gene::211	Pathway::PC7_6532
Gene::5725	Pathway::PC7_12073
Gene::581	Pathway::WP3303_r83781
Gene::10499	Pathway::PC7_2008
Gene::5718	Pathway::PC7_7427
Gene::5354	Pathway::WP706_r80056
Gene::9568	Pathway::PC7_2622
Gene::7074	Pathway::PC7_3084
Gene::7224	Pathway::PC7_8066
Gene::5290	Pathway::PC7_7447
Gene::594857	Pathway::PC7_6396
Gene::23165	Pathway::PC7_6589
Gene::2771	Pathway::PC7_2372
Gene::8350	Pathway::PC7_2532
Gene::4439	Pathway::WP34_r72115
Gene::346525	Pathway::PC7_6044
Gene::1950	Pathway::PC7_5772
Gene::596	Pathway::PC7_5995
Gene::388	Pathway::PC7_4053
Gene::9730	Pathway::PC7_1563
Gene::207	Pathway::WP2864_r79278
Gene::80196	Pathway::PC7_1563
Gene::5588	Pathway::PC7_3327
Gene::2146	Pathway::PC7_6072
Gene::11097	Pathway::PC7_5990
Gene::25978	Pathway::PC7_4366
Gene::6233	Pathway::PC7_7797
Gene::215	Pathway::PC7_5326
Gene::2956	Pathway::WP531_r69021
Gene::84254	Pathway::PC7_5890
Gene::2918	Pathway::PC7_4043
Gene::191	Pathway::PC7_2098
Gene::3021	Pathway::PC7_6791
Gene::57153	Pathway::PC7_4262
Gene::4534	Pathway::PC7_6462
Gene::4926	Pathway::WP2858_r83015
Gene::1544	Pathway::PC7_5322
Gene::64116	Pathway::PC7_8339
Gene::221002	Pathway::WP1984_r82941
Gene::3265	Pathway::PC7_5890
Gene::6206	Pathway::PC7_5324
Gene::1054	Pathway::WP2895_r79216
Gene::1950	Pathway::PC7_7267
Gene::196743	Pathway::PC7_5322
Gene::9376	Pathway::PC7_8339
Gene::3554	Pathway::PC7_4778
Gene::3576	Pathway::PC7_4638
Gene::799	Pathway::WP334_r79716
Gene::3739	Pathway::PC7_5887
Gene::3320	Pathway::PC7_3886
Gene::23385	Pathway::PC7_5788
Gene::23743	Pathway::WP2328_r84648
Gene::6885	Pathway::PC7_7786
Gene::4659	Pathway::PC7_6189
Gene::9491	Pathway::PC7_5324
Gene::80781	Pathway::PC7_4947
Gene::5707	Pathway::PC7_1859
Gene::3782	Pathway::PC7_2391
Gene::2534	Pathway::PC7_8234
Gene::335	Pathway::PC7_1655
Gene::5714	Pathway::PC7_2519
Gene::7314	Pathway::PC7_5783
Gene::5469	Pathway::PC7_3882
Gene::4738	Pathway::PC7_3278
Gene::6667	Pathway::PC7_3852
Gene::6786	Pathway::PC7_4449
Gene::54539	Pathway::PC7_8229
Gene::653361	Pathway::PC7_2705
Gene::6654	Pathway::PC7_7463
Gene::5836	Pathway::PC7_3278
Gene::2147	Pathway::PC7_7457
Gene::25898	Pathway::PC7_2623
Gene::2798	Pathway::WP117_r82985
Gene::9533	Pathway::PC7_6812
Gene::6144	Pathway::PC7_4727
Gene::2251	Pathway::PC7_2679
Gene::5335	Pathway::PC7_3806
Gene::84894	Pathway::PC7_12281
Gene::63891	Pathway::PC7_4688
Gene::54938	Pathway::WP28_r71888
Gene::6514	Pathway::PC7_6904
Gene::8737	Pathway::PC7_5708
Gene::7042	Pathway::PC7_6918
Gene::8881	Pathway::PC7_5530
Gene::5878	Pathway::PC7_2630
Gene::2847	Pathway::PC7_3992
Gene::2642	Pathway::PC7_4107
Gene::9883	Pathway::PC7_8765
Gene::8851	Pathway::WP2059_r82906
Gene::3376	Pathway::PC7_12899
Gene::2261	Pathway::PC7_1877
Gene::686	Pathway::PC7_3017
Gene::390144	Pathway::PC7_7439
Gene::9631	Pathway::PC7_5990
Gene::472	Pathway::PC7_4004
Gene::3655	Pathway::PC7_1812
Gene::3516	Pathway::PC7_6898
Gene::6233	Pathway::PC7_4791
Gene::11211	Pathway::WP399_r79474
Gene::3630	Pathway::WP1982_r79943
Gene::5294	Pathway::PC7_5326
Gene::775	Pathway::PC7_3084
Gene::2247	Pathway::PC7_7447
Gene::6117	Pathway::PC7_2520
Gene::160	Pathway::PC7_5772
Gene::9507	Pathway::WP474_r80208
Gene::1630	Pathway::WP2377_r80437
Gene::7409	Pathway::PC7_4688
Gene::51554	Pathway::PC7_7457
Gene::8001	Pathway::PC7_4965
Gene::6347	Pathway::WP2858_r83015
Gene::6868	Pathway::PC7_7458
Gene::1581	Pathway::PC7_7755
Gene::5529	Pathway::WP710_r79974
Gene::6139	Pathway::PC7_8712
Gene::85236	Pathway::PC7_6815
Gene::9662	Pathway::PC7_5529
Gene::5170	Pathway::PC7_7446
Gene::4094	Pathway::PC7_2440
Gene::4283	Pathway::PC7_2543
Gene::4609	Pathway::PC7_5528
Gene::6850	Pathway::WP2018_r79959
Gene::11316	Pathway::PC7_5307
Gene::79411	Pathway::PC7_4451
Gene::5682	Pathway::PC7_2518
Gene::5683	Pathway::PC7_1877
Gene::6597	Pathway::PC7_7483
Gene::9146	Pathway::PC7_7444
Gene::79644	Pathway::PC7_1658
Gene::6404	Pathway::PC7_10557
Gene::259291	Pathway::PC7_7439
Gene::10013	Pathway::PC7_7488
Gene::207	Pathway::PC7_2255
Gene::5698	Pathway::PC7_5530
Gene::3113	Pathway::WP2328_r84648
Gene::2557	Pathway::PC7_8340
Gene::2892	Pathway::PC7_8629
Gene::30	Pathway::WP2878_r79689
Gene::3563	Pathway::PC7_4688
Gene::971	Pathway::PC7_3084
Gene::5433	Pathway::PC7_5993
Gene::929	Pathway::PC7_8288
Gene::8473	Pathway::WP2858_r83015
Gene::8772	Pathway::PC7_5560
Gene::6934	Pathway::PC7_7483
Gene::3726	Pathway::PC7_1178
Gene::3615	Pathway::PC7_5994
Gene::1432	Pathway::PC7_5560
Gene::8775	Pathway::PC7_5307
Gene::6526	Pathway::PC7_4466
Gene::57506	Pathway::PC7_5708
