node_id	name	MXR_score	MXR_rank	Hetionet_score	Hetionet_rank	category	n_trials
Compound_DB00241	Butalbital	0.000309664517482	31	0.0833	50	AIGD	
Compound_DB00321	Amitriptyline	0.0002792755698221	37	0.252	24	IGD	
Compound_DB00434	Cyproheptadine	0.0002692438985913	41	0.0397	78	IGD	
Compound_DB01435	Antipyrine	0.0002627204422188	43	0.0401	77	IGD	
Compound_DB00661	Verapamil	0.000246121975442	50	0.0463	74	AIGD	3.0
Compound_DB00849	Methylphenobarbital	0.0002406022070531	59	0.114	36	AIGD	
Compound_DB05246	Methsuximide	0.0002112397779772	65	0.434	8	AIGD	
Compound_DB01121	Phenacemide	0.0001656518025862	68	0.0324	92	AIGD	
Compound_DB00745	Modafinil	0.0001627683063165	69	0.0503	71	AIGD	
Compound_DB00754	Ethotoin	0.0001567210270804	70	0.589	1	AIGD	
Compound_DB01437	Glutethimide	0.0001561363730624	71	0.0805	54	UNKD	
Compound_DB00832	Phensuximide	0.0001352958222749	72	0.0487	72	AIGD	
Compound_DB00312	Pentobarbital	0.000129244831326	74	0.147	29	AIGD	1.0
Compound_DB00306	Talbutal	0.0001281515872633	75	0.115	35	AIGD	
Compound_DB00237	Butabarbital	0.0001277631235034	76	0.133	30	AIGD	
Compound_DB00418	Secobarbital	0.0001242224600343	78	0.132	31	AIGD	
Compound_DB01353	Butethal	0.0001233260037125	79	0.104	39	AIGD	
Compound_DB01352	Aprobarbital	0.000122592108513	80	0.0995	43	AIGD	
Compound_DB01354	Heptabarbital	0.0001091403818138	82	0.107	37	AIGD	
Compound_DB00404	Alprazolam	9.863185842415986e-05	84	0.565	3	AIGD	1.0
Compound_DB00897	Triazolam	9.651624107691484e-05	85	0.402	11	AIGD	
Compound_DB01215	Estazolam	9.617078835781196e-05	86	0.43	9	AIGD	
Compound_DB00842	Oxazepam	9.605417043366645e-05	87	0.381	12	AIGD	
Compound_DB00690	Flurazepam	9.464178068342604e-05	88	0.289	20	AIGD	
Compound_DB00628	Clorazepate	9.43261481978402e-05	89	0.362	15	AIGD	
Compound_DB01567	Fludiazepam	9.148638632468062e-05	90	0.0877	48	AIGD	
Compound_DB01588	Prazepam	8.977319337690094e-05	92	0.0829	51	AIGD	
Compound_DB00186	Lorazepam	8.712776694471379e-05	93	0.489	5	AIGD	11.0
Compound_DB00801	Halazepam	8.667738710008137e-05	94	0.0978	45	AIGD	
Compound_DB01544	Flunitrazepam	8.391814913437861e-05	95	0.0756	58	AIGD	
Compound_DB01154	Thiamylal	7.894514246975565e-05	96	0.0814	52	AIGD	
Compound_DB00231	Temazepam	7.839168377590145e-05	97	0.375	13	AIGD	
Compound_DB00599	Thiopental	7.571421916835384e-05	98	0.0987	44	AIGD	1.0
Compound_DB01589	Quazepam	7.53016626692452e-05	100	0.57	2	AIGD	
Compound_DB00475	Chlordiazepoxide	7.475421665049573e-05	101	0.282	23	AIGD	
Compound_DB00363	Clozapine	7.305190097423369e-05	102	0.0745	59	IGD	
Compound_DB00546	Adinazolam	6.571231822029182e-05	103	0.0777	56	AIGD	
Compound_DB01559	Clotiazepam	6.255377159900272e-05	106	0.103	40	AIGD	
Compound_DB00458	Imipramine	6.148122682055568e-05	108	0.0664	63	IGD	
Compound_DB01587	Ketazolam	6.020104024852814e-05	109	0.0614	65	AIGD	
Compound_DB00188	Bortezomib	5.541290507161696e-05	110	0.0383	80	UNKD	
Compound_DB01151	Desipramine	5.3762532064283526e-05	113	0.0308	94	IGD	
Compound_DB01595	Nitrazepam	5.174072679058137e-05	119	0.104	38	AIGD	
Compound_DB01594	Cinolazepam	4.658603539979818e-05	134	0.0814	53	AIGD	
Compound_DB00408	Loxapine	4.618390232423608e-05	136	0.0343	85	IGD	
Compound_DB01242	Clomipramine	4.436931315653269e-05	139	0.0554	68	IGD	
Compound_DB00540	Nortriptyline	4.253482367463578e-05	143	0.056	67	IGD	
Compound_DB01558	Bromazepam	4.1724753562087386e-05	145	0.127	32	AIGD	
Compound_DB00780	Phenelzine	4.162010869737872e-05	147	0.0374	81	IGD	
Compound_DB01247	Isocarboxazid	3.709998478877885e-05	158	0.0383	79	IGD	
Compound_DB00906	Tiagabine	3.095165151518137e-05	176	0.284	21	AIGD	1.0
Compound_DB00543	Amoxapine	2.649913892167617e-05	192	0.0327	90	IGD	
Compound_DB00310	Chlorthalidone	2.591775049361921e-05	195	0.0444	75	UNKD	
Compound_DB00593	Ethosuximide	2.4954151785154387e-05	202	0.0725	60	AIGD	1.0
Compound_DB06637	Dalfampridine	2.4247898355277365e-05	206	0.0332	86	IGD	
Compound_DB00808	Indapamide	2.387897069145725e-05	208	0.0437	76	AIGD	
Compound_DB08912	Dabrafenib	2.367386609307788e-05	209	0.0306	95	UNKD	
Compound_DB00753	Isoflurane	1.5937776114680464e-05	266	0.079	55	AIGD	
Compound_DB00659	Acamprosate	1.4557780285040612e-05	281	0.0296	99	UNKD	
Compound_DB01043	Memantine	1.36782589635797e-05	293	0.0303	97	IGD	2.0
Compound_DB01189	Desflurane	1.3587109980331658e-05	295	0.0899	47	AIGD	
Compound_DB01355	Hexobarbital	1.2717048354745616e-05	302	0.0346	84	AIGD	
Compound_DB01236	Sevoflurane	1.2658082820800609e-05	303	0.1	42	UNKD	
Compound_DB00228	Enflurane	1.11003252615597e-05	326	0.0503	70	UNKD	
Compound_DB00243	Ranolazine	1.107571100114173e-05	327	0.0327	89	AIGD	
Compound_DB00908	Quinidine	1.1021426843797304e-05	329	0.077	57	AIGD	
Compound_DB01198	Zopiclone	1.0362421070539667e-05	347	0.0329	88	AIGD	
Compound_DB00402	Eszopiclone	1.0215945704389253e-05	349	0.0315	93	AIGD	
Compound_DB01144	Diclofenamide	8.446018971927533e-06	400	0.0371	82	AIGD	
Compound_DB00292	Etomidate	7.717642388245268e-06	434	0.0577	66	AIGD	
Compound_DB00181	Baclofen	7.27814062867391e-06	456	0.0325	91	IGD	
Compound_DB01221	Ketamine	6.890046722550411e-06	465	0.0692	62	AIGD	2.0
Compound_DB00425	Zolpidem	6.359145061582789e-06	484	0.0298	98	AIGD	
