node_id	name	MXR_score	MXR_rank	Hetionet_score	Hetionet_rank	category	phcodb
Compound_DB05246	Methsuximide	0.0001440624890147	65	0.434	8	AIGD	
Compound_DB00745	Modafinil	0.0001111174926826	68	0.0503	71	AIGD	
Compound_DB01121	Phenacemide	0.0001109653829554	69	0.0324	92	AIGD	
Compound_DB00754	Ethotoin	0.0001045826040527	70	0.589	1	AIGD	
Compound_DB01437	Glutethimide	0.0001044746189063	71	0.0805	54	UNKD	
Compound_DB00832	Phensuximide	9.28798953082799e-05	72	0.0487	72	AIGD	
Compound_DB00312	Pentobarbital	8.739570355241077e-05	74	0.147	29	AIGD	
Compound_DB00306	Talbutal	8.664170400526432e-05	75	0.115	35	AIGD	
Compound_DB00237	Butabarbital	8.653666358987187e-05	76	0.133	30	AIGD	
Compound_DB00418	Secobarbital	8.408097752130746e-05	78	0.132	31	AIGD	
Compound_DB01353	Butethal	8.34605446042552e-05	79	0.104	39	AIGD	
Compound_DB01352	Aprobarbital	8.304783572734266e-05	80	0.0995	43	AIGD	
Compound_DB01354	Heptabarbital	7.279095037825792e-05	83	0.107	37	AIGD	
Compound_DB00404	Alprazolam	6.593470467636386e-05	85	0.565	3	AIGD	
Compound_DB00897	Triazolam	6.439187807047276e-05	86	0.402	11	AIGD	
Compound_DB01215	Estazolam	6.425671277276302e-05	87	0.43	9	AIGD	
Compound_DB00842	Oxazepam	6.411015179232922e-05	88	0.381	12	AIGD	
Compound_DB00690	Flurazepam	6.318956901385687e-05	89	0.289	20	AIGD	
Compound_DB00628	Clorazepate	6.309223723154409e-05	90	0.362	15	AIGD	
Compound_DB01567	Fludiazepam	6.110679328432723e-05	91	0.0877	48	AIGD	
Compound_DB01588	Prazepam	5.995389859799392e-05	93	0.0829	51	AIGD	
Compound_DB00186	Lorazepam	5.94019567355066e-05	94	0.489	5	AIGD	
Compound_DB00801	Halazepam	5.7827147987361406e-05	95	0.0978	45	AIGD	
Compound_DB01544	Flunitrazepam	5.60289216816949e-05	96	0.0756	58	AIGD	
Compound_DB01154	Thiamylal	5.385812105084184e-05	98	0.0814	52	AIGD	
Compound_DB00231	Temazepam	5.2165720505427794e-05	99	0.375	13	AIGD	
Compound_DB00599	Thiopental	5.046208202241013e-05	102	0.0987	44	AIGD	
Compound_DB01589	Quazepam	5.020843621621025e-05	103	0.57	2	AIGD	
Compound_DB00475	Chlordiazepoxide	5.003538801553834e-05	105	0.282	23	AIGD	
Compound_DB00363	Clozapine	4.963933374748456e-05	107	0.0745	59	IGD	
Compound_DB00546	Adinazolam	4.368004390391549e-05	108	0.0777	56	AIGD	
Compound_DB00458	Imipramine	4.286168769143734e-05	109	0.0664	63	IGD	
Compound_DB01559	Clotiazepam	4.168749445084933e-05	112	0.103	40	AIGD	
Compound_DB01587	Ketazolam	4.019595792979462e-05	114	0.0614	65	AIGD	
Compound_DB01151	Desipramine	3.710956847936141e-05	116	0.0308	94	IGD	
Compound_DB00188	Bortezomib	3.697445644951029e-05	119	0.0383	80	UNKD	
Compound_DB01595	Nitrazepam	3.446691373130501e-05	129	0.104	38	AIGD	
Compound_DB00408	Loxapine	3.178484574038528e-05	137	0.0343	85	IGD	
Compound_DB01594	Cinolazepam	3.093255062633299e-05	139	0.0814	53	AIGD	
Compound_DB00540	Nortriptyline	3.0340175088817723e-05	140	0.056	67	IGD	
Compound_DB01242	Clomipramine	3.031091867653472e-05	141	0.0554	68	IGD	
Compound_DB01558	Bromazepam	2.7750861451854085e-05	148	0.127	32	AIGD	
Compound_DB00780	Phenelzine	2.774000201628328e-05	149	0.0374	81	IGD	
Compound_DB01247	Isocarboxazid	2.479836127532774e-05	159	0.0383	79	IGD	
Compound_DB00906	Tiagabine	2.057805727331745e-05	180	0.284	21	AIGD	NOT
Compound_DB00543	Amoxapine	1.801830683959685e-05	197	0.0327	90	IGD	
