1:3830000:4395000	1:4682500:5295625
1:162786875:163372500	1:165275000:165572500
1:165275000:165572500	1:165577500:165996250
1:165577500:165996250	1:166782500:167017500
1:166782500:167017500	1:167177500:167562500
1:167177500:167562500	1:167872500:168132500
1:167872500:168132500	1:168237500:168555000
1:168237500:168555000	1:168560000:169337500
1:168560000:169337500	1:169360000:169882500
1:169360000:169882500	1:171387500:171555000
1:171387500:171555000	1:171565000:171960000
1:171565000:171960000	1:171965000:172472500
1:171965000:172472500	1:172547500:172707500
1:172547500:172707500	1:172712500:173377500
1:172712500:173377500	1:173382500:173880000
1:173382500:173880000	1:173927500:174212500
1:173927500:174212500	1:174217500:174722500
1:174217500:174722500	1:174727500:174997500
1:174727500:174997500	1:175092500:175327500
1:175092500:175327500	1:175415000:175832500
1:175415000:175832500	1:177367500:177997500
1:177367500:177997500	1:178437500:178987500
1:178437500:178987500	1:179040000:179402500
1:179040000:179402500	1:179647500:179787500
1:179647500:179787500	1:179792500:180175000
1:179792500:180175000	1:180185000:180460000
1:180185000:180460000	1:180465000:180917500
1:180465000:180917500	1:180992500:181147500
1:180992500:181147500	1:181152500:181407500
1:181152500:181407500	1:181412500:182031875
1:181412500:182031875	1:182037500:182520000
1:182037500:182520000	1:182532500:182872500
1:182532500:182872500	1:182882500:183277500
1:182882500:183277500	1:183593125:183905000
1:183593125:183905000	1:183917500:184312500
1:183917500:184312500	1:184642500:185000000
1:184642500:185000000	1:185122500:185732500
1:185122500:185732500	1:185762500:186220000
1:185762500:186220000	1:186232500:186432500
1:186232500:186432500	1:186437500:186972500
1:186437500:186972500	1:187132500:187302500
1:187132500:187302500	1:191266250:191940000
1:191266250:191940000	1:192222500:192367500
1:192222500:192367500	1:192372500:192735000
1:192372500:192735000	1:192740000:193027500
1:192740000:193027500	1:193102500:193760000
1:193102500:193760000	1:193770000:194402500
1:193770000:194402500	1:195057500:195287500
1:195057500:195287500	1:196070000:196800000
1:196070000:196800000	1:197375000:197905000
1:197375000:197905000	1:197955000:198475000
1:197955000:198475000	1:198480000:198737500
1:198480000:198737500	1:198742500:199530000
1:198742500:199530000	1:200042500:200497500
1:200042500:200497500	1:200542500:200907500
1:200542500:200907500	1:200912500:201195000
1:200912500:201195000	1:202710000:202852500
1:202710000:202852500	1:202857500:202997500
1:202857500:202997500	1:203190000:203462500
1:203190000:203462500	1:203467500:203885000
1:203467500:203885000	1:204097500:204372500
1:204097500:204372500	1:204377500:204532500
1:204377500:204532500	1:204537500:204892500
1:204537500:204892500	1:205007500:205502500
1:205007500:205502500	1:205542500:205993750
1:205542500:205993750	1:206762500:207172500
1:206762500:207172500	1:207212500:207785625
1:207212500:207785625	1:207987500:208187500
1:207987500:208187500	1:208295000:208437500
1:208295000:208437500	1:209712500:210037500
1:209712500:210037500	1:210052500:210507500
1:210052500:210507500	1:211382500:211692500
1:211382500:211692500	1:211830000:212177500
1:211830000:212177500	1:212182500:212642500
1:212182500:212642500	1:212670000:212832500
1:212670000:212832500	1:212837500:213247500
1:212837500:213247500	1:213322500:214392500
1:213322500:214392500	1:214410000:214525000
1:214410000:214525000	1:214787500:215912500
1:214787500:215912500	1:221022500:221237500
1:221022500:221237500	1:221360000:222235000
1:221360000:222235000	1:222252500:222642500
1:222252500:222642500	1:222742500:222907500
1:222742500:222907500	1:222912500:223287500
1:222912500:223287500	1:223292500:223885000
1:223292500:223885000	1:224188750:224657500
1:224188750:224657500	1:225477500:226305000
1:225477500:226305000	1:226537500:226738125
1:226537500:226738125	1:227717500:227916875
1:227717500:227916875	1:227930625:228177500
1:227930625:228177500	1:228280000:228723750
1:228280000:228723750	1:228766250:229395000
1:228766250:229395000	1:229400000:229685000
1:229400000:229685000	1:229730000:230496250
1:229730000:230496250	1:230737500:231382500
1:230737500:231382500	1:231432500:231860000
1:231432500:231860000	1:231927500:232772500
1:231927500:232772500	1:232922500:233420000
1:232922500:233420000	1:234240000:234472500
1:234240000:234472500	1:234562500:235262500
1:234562500:235262500	1:235267500:235667500
1:235267500:235667500	1:235672500:236202500
1:235672500:236202500	1:236230000:236692500
1:236230000:236692500	1:236840000:237128750
1:236840000:237128750	1:237785000:239216875
1:237785000:239216875	1:239427500:240202500
1:239427500:240202500	1:241607500:242151875
1:241607500:242151875	1:242462500:243156250
1:242462500:243156250	1:243238750:244550000
1:243238750:244550000	1:244727500:244943750
1:244727500:244943750	1:244951250:245252500
1:244951250:245252500	1:246019375:246185000
1:246019375:246185000	1:246202500:246635000
1:246202500:246635000	1:246640000:246985000
1:246640000:246985000	1:247542500:247737500
1:247542500:247737500	1:248556250:249117500
1:248556250:249117500	1:249122500:249223063
1:249122500:249223063	10:113750:652500
10:113750:652500	10:830000:1150000
10:830000:1150000	10:1587500:2255000
10:1587500:2255000	10:3226250:4822500
10:3226250:4822500	10:4827500:5472500
10:4827500:5472500	10:5477500:5687500
10:5477500:5687500	10:5692500:5952500
10:5692500:5952500	10:6455000:6742500
10:6455000:6742500	10:6747500:7553750
10:6747500:7553750	10:7867500:8550000
10:7867500:8550000	10:8735000:9362500
10:8735000:9362500	10:9367500:10772500
10:9367500:10772500	10:11547500:11872500
10:11547500:11872500	10:12142500:12827500
10:12142500:12827500	10:14255000:14517500
10:14255000:14517500	10:14522500:15039375
10:14522500:15039375	10:15872500:16412500
10:15872500:16412500	10:16437500:16822500
10:16437500:16822500	10:21550000:22252500
10:21550000:22252500	10:22257500:22825000
10:22257500:22825000	10:22830000:23417500
10:22830000:23417500	10:23432500:24052500
10:23432500:24052500	10:24819375:25477500
10:24819375:25477500	10:26527500:26882500
10:26527500:26882500	10:26991875:27215000
10:26991875:27215000	10:27220000:27627500
10:27220000:27627500	10:27657500:27950000
10:27657500:27950000	10:27962500:28929375
10:27962500:28929375	10:28956875:29655000
10:28956875:29655000	10:30245000:30645000
10:30245000:30645000	10:30650000:30920000
10:30650000:30920000	10:30932500:32132500
10:30932500:32132500	10:32137500:32340000
10:32137500:32340000	10:32457500:32655000
10:32457500:32655000	10:32665000:33055000
10:32665000:33055000	10:33065000:33472500
10:33065000:33472500	10:33477500:33635000
10:33477500:33635000	10:35249375:35515625
10:35249375:35515625	10:35522500:35932500
10:35522500:35932500	10:36155000:37331875
10:36155000:37331875	10:37460000:38070625
10:37460000:38070625	10:38182500:39566875
10:38182500:39566875	10:42752500:43317500
10:42752500:43317500	10:43327500:43977500
10:43327500:43977500	10:48147500:48848750
10:48147500:48848750	10:49206250:49707500
10:49206250:49707500	10:49802500:50598750
10:49802500:50598750	10:50606250:51208125
10:50606250:51208125	10:51735000:52504375
10:51735000:52504375	10:52657500:54042500
10:52657500:54042500	10:57600000:58710000
10:57600000:58710000	10:59892500:60225000
10:59892500:60225000	10:61332500:61812500
10:61332500:61812500	10:62600000:62802500
10:62600000:62802500	10:64925000:65601250
10:64925000:65601250	10:65625000:66875000
10:65625000:66875000	10:68157500:69277500
10:68157500:69277500	10:69562500:70172500
10:69562500:70172500	10:70715000:70972500
10:70715000:70972500	10:70977500:71167500
10:70977500:71167500	10:72282500:72682500
10:72282500:72682500	10:73647500:73780000
10:73647500:73780000	10:73797500:74118125
10:73797500:74118125	10:74124375:74830000
10:74124375:74830000	10:75285000:75479375
10:75285000:75479375	10:75572500:75847500
10:75572500:75847500	10:75990000:77034375
10:75990000:77034375	10:78902500:79665000
10:78902500:79665000	10:79677500:81052500
10:79677500:81052500	10:82036875:82350625
10:82036875:82350625	10:82847500:83785000
10:82847500:83785000	10:85837500:85992500
10:85837500:85992500	10:86002500:86347500
10:86002500:86347500	10:86377500:86910000
10:86377500:86910000	10:87272500:88147500
10:87272500:88147500	10:88152500:88431875
10:88152500:88431875	10:88440625:88962500
10:88440625:88962500	10:89885000:90400000
10:89885000:90400000	10:90580000:90685000
10:90580000:90685000	10:90690000:91010000
10:90690000:91010000	10:91537500:92595000
10:91537500:92595000	10:92600000:93042500
10:92600000:93042500	10:93057500:93497500
10:93057500:93497500	10:93502500:93787500
10:93502500:93787500	10:93792500:94278750
10:93792500:94278750	10:94817500:95300625
10:94817500:95300625	10:95472500:95697500
10:95472500:95697500	10:97137500:97380000
10:97137500:97380000	10:97385000:97630000
10:97385000:97630000	10:97700000:98130000
10:97700000:98130000	10:98135000:98575000
10:98135000:98575000	10:98610000:98817500
10:98610000:98817500	10:98822500:99027500
10:98822500:99027500	10:99507500:99642500
10:99507500:99642500	10:99647500:100197500
10:99647500:100197500	10:100212500:101062500
10:100212500:101062500	10:101127500:101525000
10:101127500:101525000	10:101542500:101880000
10:101542500:101880000	10:102038125:102302500
10:102038125:102302500	10:102307500:102805000
10:102307500:102805000	10:102897500:103360000
10:102897500:103360000	10:103567500:103867500
10:103567500:103867500	10:103872500:104515000
10:103872500:104515000	10:104577500:105098125
10:104577500:105098125	10:105114375:105305625
10:105114375:105305625	10:105326250:105627500
10:105326250:105627500	10:105632500:106037500
10:105632500:106037500	10:106317500:106840000
10:106317500:106840000	10:107495000:107977500
10:107495000:107977500	10:111600000:111870000
10:111600000:111870000	10:111875000:112062500
10:111875000:112062500	10:112067500:112367500
10:112067500:112367500	10:112373750:112972500
10:112373750:112972500	10:113377500:113860000
10:113377500:113860000	10:113865000:114202500
10:113865000:114202500	10:114422500:115382500
10:114422500:115382500	10:115417500:115890000
10:115417500:115890000	10:116955000:118317500
10:116955000:118317500	10:118357500:118965000
10:118357500:118965000	10:119167500:120160000
10:119167500:120160000	10:120245000:120782500
10:120245000:120782500	10:120787500:121218125
10:120787500:121218125	10:121467500:121717500
10:121467500:121717500	10:121732500:122125000
10:121732500:122125000	10:122152500:122480000
10:122152500:122480000	10:122680000:123560000
10:122680000:123560000	10:123972500:124353750
10:123972500:124353750	10:124562500:124780000
10:124562500:124780000	10:124785000:125502500
10:124785000:125502500	10:126167500:126692500
10:126167500:126692500	10:130755000:132030000
10:130755000:132030000	10:133731250:133845000
10:133731250:133845000	11:207500:542500
11:207500:542500	11:1105000:1588125
11:1105000:1588125	11:2478125:3391875
11:2478125:3391875	11:4185000:4660000
11:4185000:4660000	11:5505000:5957500
11:5505000:5957500	11:6186875:6377500
11:6186875:6377500	11:6382500:6532500
11:6382500:6532500	11:7105000:7470000
11:7105000:7470000	11:7492500:7808750
11:7492500:7808750	11:8642500:8920000
11:8642500:8920000	11:9155000:9547500
11:9155000:9547500	11:10212500:10387500
11:10212500:10387500	11:10392500:10767500
11:10392500:10767500	11:11037500:11197500
11:11037500:11197500	11:11280000:11807500
11:11280000:11807500	11:12050000:12320000
11:12050000:12320000	11:12325000:12977500
11:12325000:12977500	11:13680000:14295000
11:13680000:14295000	11:14472500:15282500
11:14472500:15282500	11:15342500:15866250
11:15342500:15866250	11:15947500:16682500
11:15947500:16682500	11:16695000:17015000
11:16695000:17015000	11:18240000:18542500
11:18240000:18542500	11:18565000:18905000
11:18565000:18905000	11:18935000:19280000
11:18935000:19280000	11:19572500:19957500
11:19572500:19957500	11:20100000:20727500
11:20100000:20727500	11:20832500:22134375
11:20832500:22134375	11:22195000:22947500
11:22195000:22947500	11:25337500:25605000
11:25337500:25605000	11:27142500:27557500
11:27142500:27557500	11:27772500:28750000
11:27772500:28750000	11:32542500:32842500
11:32542500:32842500	11:32847500:33115000
11:32847500:33115000	11:33167500:33377500
11:33167500:33377500	11:33382500:33752500
11:33382500:33752500	11:34155000:34532500
11:34155000:34532500	11:34552500:34925000
11:34552500:34925000	11:34930000:35567500
11:34930000:35567500	11:35572500:36577500
11:35572500:36577500	11:36945000:37470000
11:36945000:37470000	11:38711250:39555000
11:38711250:39555000	11:39917500:40455000
11:39917500:40455000	11:43252500:44012500
11:43252500:44012500	11:44070000:44290000
11:44070000:44290000	11:44537500:44940000
11:44537500:44940000	11:44945000:45120000
11:44945000:45120000	11:45125000:45462500
11:45125000:45462500	11:45799375:46175000
11:45799375:46175000	11:46247500:46405000
11:46247500:46405000	11:46410000:46722500
11:46410000:46722500	11:46867500:47191875
11:46867500:47191875	11:47922500:48202500
11:47922500:48202500	11:51086250:52385625
11:51086250:52385625	11:53986875:56440000
11:53986875:56440000	11:57045000:57417500
11:57045000:57417500	11:57422500:57587500
11:57422500:57587500	11:57592500:58305000
11:57592500:58305000	11:58422500:58755000
11:58422500:58755000	11:59290000:59482500
11:59290000:59482500	11:59640000:60107500
11:59640000:60107500	11:60112500:60517500
11:60112500:60517500	11:60522500:60980625
11:60522500:60980625	11:61069375:61231250
11:61069375:61231250	11:61520000:61906250
11:61520000:61906250	11:61913750:62123125
11:61913750:62123125	11:62134375:62332500
11:62134375:62332500	11:63225000:63535000
11:63225000:63535000	11:63555000:63744375
11:63555000:63744375	11:63758125:63955000
11:63758125:63955000	11:65798125:65982500
11:65798125:65982500	11:66245000:66457500
11:66245000:66457500	11:66462500:66831875
11:66462500:66831875	11:66837500:67551875
11:66837500:67551875	11:68152500:68363750
11:68152500:68363750	11:68371250:68697500
11:68371250:68697500	11:68839375:69506250
11:68839375:69506250	11:70135000:70277500
11:70135000:70277500	11:70436250:71385625
11:70436250:71385625	11:71475625:71885000
11:71475625:71885000	11:71895000:72172500
11:71895000:72172500	11:72177500:72282500
11:72177500:72282500	11:72392500:72995000
11:72392500:72995000	11:73120000:73390000
11:73120000:73390000	11:73465000:73945000
11:73465000:73945000	11:73950000:74082500
11:73950000:74082500	11:74087500:74377500
11:74087500:74377500	11:74387500:74622500
11:74387500:74622500	11:74837500:74972500
11:74837500:74972500	11:75130000:75307500
11:75130000:75307500	11:75595000:75892500
11:75595000:75892500	11:75897500:76370000
11:75897500:76370000	11:77661250:78317500
11:77661250:78317500	11:78340000:78836250
11:78340000:78836250	11:80457500:81100000
11:80457500:81100000	11:81296250:82375000
11:81296250:82375000	11:82552500:83047500
11:82552500:83047500	11:83720000:84147500
11:83720000:84147500	11:85235000:85567500
11:85235000:85567500	11:85737500:86060000
11:85737500:86060000	11:86132500:86567500
11:86132500:86567500	11:86572500:87055000
11:86572500:87055000	11:87662500:88327500
11:87662500:88327500	11:89750000:90140000
11:89750000:90140000	11:91182500:92730000
11:91182500:92730000	11:92867500:93358750
11:92867500:93358750	11:94765000:95547500
11:94765000:95547500	11:95625000:96197500
11:95625000:96197500	11:101705000:101920000
11:101705000:101920000	11:102097500:102607500
11:102097500:102607500	11:103517500:103970000
11:103517500:103970000	11:104370000:105385000
11:104370000:105385000	11:106156875:107132500
11:106156875:107132500	11:107811250:108252500
11:107811250:108252500	11:108257500:108597500
11:108257500:108597500	11:109050000:109930000
11:109050000:109930000	11:109965000:110322500
11:109965000:110322500	11:110327500:111132500
11:110327500:111132500	11:111137500:111365000
11:111137500:111365000	11:111370000:111752500
11:111370000:111752500	11:111770000:111992500
11:111770000:111992500	11:112140000:112445000
11:112140000:112445000	11:113172500:113582500
11:113172500:113582500	11:113713750:114182500
11:113713750:114182500	11:114195000:114485000
11:114195000:114485000	11:114952500:115467500
11:114952500:115467500	11:115590000:116553125
11:115590000:116553125	11:116559375:117147500
11:116559375:117147500	11:117630000:118000000
11:117630000:118000000	11:118020000:118167500
11:118020000:118167500	11:118221875:118526875
11:118221875:118526875	11:118540625:118909375
11:118540625:118909375	11:119060000:119264375
11:119060000:119264375	11:119273125:119987500
11:119273125:119987500	11:121069375:121532500
11:121069375:121532500	11:121570000:122420000
11:121570000:122420000	11:122425000:122642500
11:122425000:122642500	11:122647500:122737500
11:122647500:122737500	11:122742500:122942500
11:122742500:122942500	11:122960000:123262500
11:122960000:123262500	11:123267500:123425000
11:123267500:123425000	11:123435000:123657500
11:123435000:123657500	11:124462500:124737500
11:124462500:124737500	11:124742500:125310625
11:124742500:125310625	11:125757500:126277500
11:125757500:126277500	11:127830000:128847500
11:127830000:128847500	11:128927500:129217500
11:128927500:129217500	11:129222500:129630000
11:129222500:129630000	11:130072500:130292500
11:130072500:130292500	11:130297500:130837500
11:130297500:130837500	11:133025000:133682500
11:133025000:133682500	12:277500:662500
12:277500:662500	12:667500:935000
12:667500:935000	12:1202500:1737500
12:1202500:1737500	12:1742500:1910000
12:1742500:1910000	12:1915000:2180625
12:1915000:2180625	12:2196875:2742500
12:2196875:2742500	12:3381250:3702500
12:3381250:3702500	12:3722500:3922500
12:3722500:3922500	12:4460000:4888750
12:4460000:4888750	12:6417500:6667500
12:6417500:6667500	12:6672500:6970000
12:6672500:6970000	12:6975000:7311250
12:6975000:7311250	12:7345000:7998125
12:7345000:7998125	12:8499375:9040000
12:8499375:9040000	12:9052500:9222500
12:9052500:9222500	12:9461875:9566250
12:9461875:9566250	12:9588750:9890000
12:9588750:9890000	12:9962500:10111250
12:9962500:10111250	12:10120000:10362500
12:10120000:10362500	12:10367500:10742500
12:10367500:10742500	12:10912500:11655000
12:10912500:11655000	12:12505000:12937500
12:12505000:12937500	12:12982500:13420000
12:12982500:13420000	12:13437500:14327500
12:13437500:14327500	12:14337500:14837500
12:14337500:14837500	12:14855000:15185000
12:14855000:15185000	12:15420000:15662500
12:15420000:15662500	12:15727500:16222500
12:15727500:16222500	12:17902500:18027500
12:17902500:18027500	12:18350000:18920625
12:18350000:18920625	12:21375000:21842500
12:21375000:21842500	12:21847500:22183750
12:21847500:22183750	12:22191250:22672500
12:22191250:22672500	12:22677500:22935000
12:22677500:22935000	12:25120000:25322500
12:25120000:25322500	12:25327500:25568750
12:25327500:25568750	12:25576250:26202500
12:25576250:26202500	12:27567500:27865000
12:27567500:27865000	12:28117500:28832500
12:28117500:28832500	12:29956250:30765000
12:29956250:30765000	12:30770000:31230000
12:30770000:31230000	12:31752500:32217500
12:31752500:32217500	12:32227500:32552500
12:32227500:32552500	12:32557500:32922500
12:32557500:32922500	12:33077500:35623125
12:33077500:35623125	12:37149375:39627500
12:37149375:39627500	12:42116250:42445625
12:42116250:42445625	12:42476250:42927500
12:42476250:42927500	12:43055000:43782500
12:43055000:43782500	12:44102500:44302500
12:44102500:44302500	12:44317500:44687500
12:44317500:44687500	12:44877500:45157500
12:44877500:45157500	12:45190000:45497500
12:45190000:45497500	12:45502500:45877500
12:45502500:45877500	12:46380000:46707500
12:46380000:46707500	12:46712500:47107500
12:46712500:47107500	12:47112500:47400000
12:47112500:47400000	12:47405000:48092500
12:47405000:48092500	12:48302500:48582500
12:48302500:48582500	12:48587500:49175000
12:48587500:49175000	12:49222500:49447500
12:49222500:49447500	12:50022500:50117500
12:50022500:50117500	12:50817500:51147500
12:50817500:51147500	12:51152500:51427500
12:51152500:51427500	12:51432500:51793750
12:51432500:51793750	12:51806875:51953750
12:51806875:51953750	12:51961250:52296250
12:51961250:52296250	12:52502500:52957500
12:52502500:52957500	12:52962500:53393750
12:52962500:53393750	12:53922500:54082500
12:53922500:54082500	12:54622500:54942500
12:54622500:54942500	12:54980000:55570000
12:54980000:55570000	12:55580000:56085000
12:55580000:56085000	12:56462500:56892500
12:56462500:56892500	12:56897500:57132500
12:56897500:57132500	12:57137500:57655000
12:57137500:57655000	12:57932500:58152500
12:57932500:58152500	12:58157500:58340000
12:58157500:58340000	12:58617500:59567500
12:58617500:59567500	12:59712500:60317500
12:59712500:60317500	12:60657500:62392500
12:60657500:62392500	12:62410000:62612500
12:62410000:62612500	12:62687500:63230000
12:62687500:63230000	12:64792500:65205000
12:64792500:65205000	12:65225000:65732500
12:65225000:65732500	12:65915000:66482500
12:65915000:66482500	12:66487500:66922500
12:66487500:66922500	12:67640000:68425000
12:67640000:68425000	12:68605000:68732500
12:68605000:68732500	12:68737500:69230000
12:68737500:69230000	12:69690000:70157500
12:69690000:70157500	12:70162500:71240000
12:70162500:71240000	12:71757500:71980000
12:71757500:71980000	12:71985000:72152500
12:71985000:72152500	12:72157500:72360000
12:72157500:72360000	12:72817500:73252500
12:72817500:73252500	12:75072500:75642500
12:75072500:75642500	12:75672500:75900000
12:75672500:75900000	12:75912500:76447500
12:75912500:76447500	12:76706875:77002500
12:76706875:77002500	12:77015000:77495000
12:77015000:77495000	12:79155000:79856250
12:79155000:79856250	12:82987500:83968125
12:82987500:83968125	12:85642500:86055000
12:85642500:86055000	12:89355000:89927500
12:89355000:89927500	12:89932500:90730000
12:89932500:90730000	12:91722500:92537500
12:91722500:92537500	12:92542500:93072500
12:92542500:93072500	12:93077500:93340000
12:93077500:93340000	12:93365000:93850000
12:93365000:93850000	12:93860000:94145000
12:93860000:94145000	12:94150000:94517500
12:94150000:94517500	12:94522500:94970000
12:94522500:94970000	12:94975000:95392500
12:94975000:95392500	12:96282500:96402500
12:96282500:96402500	12:96957500:97407500
12:96957500:97407500	12:97500000:97790000
12:97500000:97790000	12:97820000:98792500
12:97820000:98792500	12:100421250:100752500
12:100421250:100752500	12:101642500:102217500
12:101642500:102217500	12:102292500:102590000
12:102292500:102590000	12:102642500:103045000
12:102642500:103045000	12:103240000:104090000
12:103240000:104090000	12:104752500:105662500
12:104752500:105662500	12:105812500:106567500
12:105812500:106567500	12:106585000:107442500
12:106585000:107442500	12:107485000:108060000
12:107485000:108060000	12:108322500:108912500
12:108322500:108912500	12:109852500:110282500
12:109852500:110282500	12:110873125:111333125
12:110873125:111333125	12:111344375:111807500
12:111344375:111807500	12:112282500:112528125
